Algorithm,Seed,Dataset,Ratio,K,Fitness,Distancia,Incumplimiento,Evaluaciones,Time_ms
ILS-ES,43210,zoo,15,7,0.981086,0.792512,0.0512048,86703,132
Greedy,10293,zoo,15,7,1.5402,1.52911,0.00301205,1,4
Random,10293,zoo,15,7,1.93368,1.56763,0.0993976,100000,338
BL,10293,zoo,15,7,1.1014,0.946101,0.0421687,5798,9
AM-BEST (Mejor P2),10293,zoo,15,7,1.14899,0.965967,0.0496988,100000,342
BMB,10293,zoo,15,7,1.1014,0.946101,0.0421687,27631,45
ILS-BL,10293,zoo,15,7,0.990852,0.83001,0.0436747,25904,41
ES,10293,zoo,15,7,1.01798,0.834948,0.0496988,65731,100
ILS-ES,10293,zoo,15,7,0.968468,0.702246,0.0722892,85212,141
Greedy,84756,zoo,15,7,1.56444,1.55335,0.00301205,1,2
Random,84756,zoo,15,7,1.94422,1.61698,0.0888554,100000,372
BL,84756,zoo,15,7,1.0961,1.00181,0.0256024,7073,12
AM-BEST (Mejor P2),84756,zoo,15,7,1.10257,0.975009,0.0346386,100000,447
BMB,84756,zoo,15,7,1.0033,0.831368,0.0466867,33841,68
ILS-BL,84756,zoo,15,7,1.03537,0.863432,0.0466867,25806,50
ES,84756,zoo,15,7,0.973139,0.82339,0.0406627,73675,136
ILS-ES,84756,zoo,15,7,0.971606,0.810764,0.0436747,87813,153
Greedy,97531,zoo,15,7,1.51146,1.49482,0.00451807,1,1
Random,97531,zoo,15,7,1.91356,1.56414,0.0948795,100000,436
BL,97531,zoo,15,7,1.14049,0.974099,0.0451807,7628,13
AM-BEST (Mejor P2),97531,zoo,15,7,1.05498,0.938511,0.0316265,100000,352
BMB,97531,zoo,15,7,1.07516,0.925414,0.0406627,29246,48
ILS-BL,97531,zoo,15,7,1.09452,1.00578,0.0240964,22858,35
ES,97531,zoo,15,7,0.974904,0.819608,0.0421687,100000,149
ILS-ES,97531,zoo,15,7,0.956285,0.717794,0.064759,93191,139
Greedy,8642,zoo,15,7,1.47891,1.46227,0.00451807,1,2
Random,8642,zoo,15,7,1.95425,1.59929,0.0963855,100000,326
BL,8642,zoo,15,7,1.0383,0.894094,0.0391566,6668,11
AM-BEST (Mejor P2),8642,zoo,15,7,1.13478,0.996118,0.0376506,100000,356
BMB,8642,zoo,15,7,1.0383,0.894094,0.0391566,27947,50
ILS-BL,8642,zoo,15,7,0.998334,0.8264,0.0466867,24796,41
ES,8642,zoo,15,7,0.984301,0.823459,0.0436747,34418,58
ILS-ES,8642,zoo,15,7,0.976959,0.72183,0.0692771,86612,137
Greedy,12345,zoo,30,7,1.74116,1.63292,0.0293912,1,6
Random,12345,zoo,30,7,1.94905,1.54701,0.109167,100000,392
BL,12345,zoo,30,7,1.16167,0.785413,0.102169,10357,23
AM-BEST (Mejor P2),12345,zoo,30,7,1.27842,0.938241,0.0923723,100000,401
BMB,12345,zoo,30,7,1.15272,0.776458,0.102169,32690,77
ILS-BL,12345,zoo,30,7,1.16003,0.776039,0.104269,30459,69
ES,12345,zoo,30,7,1.17391,0.797646,0.102169,100000,224
ILS-ES,12345,zoo,30,7,1.13642,0.783349,0.0958712,96938,220
Greedy,67890,zoo,30,7,1.69448,1.58366,0.030091,1,5
Random,67890,zoo,30,7,1.93328,1.43331,0.135759,100000,396
BL,67890,zoo,30,7,1.22419,0.878858,0.0937719,4293,10
AM-BEST (Mejor P2),67890,zoo,30,7,1.3537,1.06764,0.0776767,100000,405
BMB,67890,zoo,30,7,1.1717,0.79801,0.10147,29085,71
ILS-BL,67890,zoo,30,7,1.14645,0.775343,0.10077,21884,51
ES,67890,zoo,30,7,1.16025,0.778835,0.103569,100000,230
ILS-ES,67890,zoo,30,7,1.14265,0.776694,0.0993702,92942,214
Greedy,13579,zoo,30,7,1.72425,1.60055,0.0335899,1,2
Random,13579,zoo,30,7,1.97302,1.36224,0.16585,100000,392
BL,13579,zoo,30,7,1.19927,0.884856,0.0853744,5626,13
AM-BEST (Mejor P2),13579,zoo,30,7,1.19639,0.861358,0.0909727,100000,403
BMB,13579,zoo,30,7,1.18629,0.843526,0.0930721,29301,70
ILS-BL,13579,zoo,30,7,1.19927,0.884856,0.0853744,17191,39
ES,13579,zoo,30,7,1.16357,0.836276,0.0888733,100000,229
ILS-ES,13579,zoo,30,7,1.16003,0.734799,0.115465,96089,221
Greedy,24680,zoo,30,7,1.66736,1.5617,0.0286914,1,5
Random,24680,zoo,30,7,1.99511,1.60597,0.105668,100000,400
BL,24680,zoo,30,7,1.17862,0.861637,0.0860742,7443,17
AM-BEST (Mejor P2),24680,zoo,30,7,1.23041,0.921158,0.0839748,100000,406
BMB,24680,zoo,30,7,1.13428,0.76833,0.0993702,32103,77
ILS-BL,24680,zoo,30,7,1.17838,0.85881,0.086774,23240,52
ES,24680,zoo,30,7,1.16537,0.776219,0.105668,75252,170
ILS-ES,24680,zoo,30,7,1.13744,0.763757,0.10147,93760,211
Greedy,98765,zoo,30,7,1.73751,1.59835,0.0377887,1,4
Random,98765,zoo,30,7,1.97408,1.38649,0.159552,100000,400
BL,98765,zoo,30,7,1.20918,0.946308,0.0713786,6214,15
AM-BEST (Mejor P2),98765,zoo,30,7,1.18035,0.778313,0.109167,100000,403
BMB,98765,zoo,30,7,1.20918,0.946308,0.0713786,27499,65
ILS-BL,98765,zoo,30,7,1.2048,0.947084,0.069979,22235,50
ES,98765,zoo,30,7,1.16084,0.779427,0.103569,70128,162
ILS-ES,98765,zoo,30,7,1.13675,0.793986,0.0930721,82987,192
Greedy,43210,zoo,30,7,1.75694,1.63066,0.0342897,1,2
Random,43210,zoo,30,7,1.95026,1.53534,0.112666,100000,393
BL,43210,zoo,30,7,1.19625,0.912766,0.0769769,5820,14
AM-BEST (Mejor P2),43210,zoo,30,7,1.27512,0.844735,0.116865,100000,406
BMB,43210,zoo,30,7,1.1379,0.774523,0.0986704,31198,75
ILS-BL,43210,zoo,30,7,1.17864,0.835877,0.0930721,22787,52
ES,43210,zoo,30,7,1.16319,0.786929,0.102169,72724,169
ILS-ES,43210,zoo,30,7,1.14757,0.784192,0.0986704,100000,229
Greedy,10293,zoo,30,7,1.71374,1.60293,0.030091,1,3
Random,10293,zoo,30,7,1.98644,1.5406,0.121064,100000,391
BL,10293,zoo,30,7,1.19039,0.863093,0.0888733,5184,12
AM-BEST (Mejor P2),10293,zoo,30,7,1.21564,0.862567,0.0958712,100000,404
BMB,10293,zoo,30,7,1.1877,0.868137,0.086774,37237,87
ILS-BL,10293,zoo,30,7,1.18883,0.833183,0.096571,19866,45
ES,10293,zoo,30,7,1.15021,0.761059,0.105668,80067,184
ILS-ES,10293,zoo,30,7,1.13645,0.778228,0.0972708,95129,218
Greedy,84756,zoo,30,7,1.7497,1.626,0.0335899,1,5
Random,84756,zoo,30,7,1.96586,1.52775,0.118964,100000,403
BL,84756,zoo,30,7,1.16652,0.800568,0.0993702,5339,13
AM-BEST (Mejor P2),84756,zoo,30,7,1.3372,1.02537,0.0846746,100000,405
BMB,84756,zoo,30,7,1.16114,0.828685,0.0902729,28924,70
ILS-BL,84756,zoo,30,7,1.15245,0.776185,0.102169,20905,48
ES,84756,zoo,30,7,1.16027,0.784004,0.102169,100000,223
ILS-ES,84756,zoo,30,7,1.14376,0.777809,0.0993702,98043,224
Greedy,97531,zoo,30,7,1.71288,1.59433,0.0321903,1,12
Random,97531,zoo,30,7,1.97882,1.58194,0.107768,100000,394
BL,97531,zoo,30,7,1.17063,0.799519,0.10077,6872,16
AM-BEST (Mejor P2),97531,zoo,30,7,1.33443,1.03548,0.0811756,100000,407
BMB,97531,zoo,30,7,1.16659,0.821254,0.0937719,29468,72
ILS-BL,97531,zoo,30,7,1.16467,0.827069,0.0916725,22090,52
ES,97531,zoo,30,7,1.1693,0.782733,0.104969,62054,145
ILS-ES,97531,zoo,30,7,1.17161,0.741228,0.116865,82009,191
Greedy,8642,zoo,30,7,1.67098,1.56532,0.0286914,1,3
Random,8642,zoo,30,7,1.98715,1.52842,0.124563,100000,400
BL,8642,zoo,30,7,1.27118,0.979967,0.0790763,4864,12
AM-BEST (Mejor P2),8642,zoo,30,7,1.19845,0.845378,0.0958712,100000,405
BMB,8642,zoo,30,7,1.1474,0.755671,0.106368,31130,76
ILS-BL,8642,zoo,30,7,1.21259,0.923948,0.0783765,18649,45
ES,8642,zoo,30,7,1.1534,0.764252,0.105668,99128,239
ILS-ES,8642,zoo,30,7,1.14964,0.770797,0.102869,85295,200
Greedy,12345,glass,15,7,0.49776,0.42957,0.0319776,1,21
Random,12345,glass,15,7,0.675226,0.432259,0.11394,100000,683
BL,12345,glass,15,7,0.398479,0.30447,0.0440857,15040,66
AM-BEST (Mejor P2),12345,glass,15,7,0.420689,0.29755,0.057746,100000,693
BMB,12345,glass,15,7,0.396873,0.294257,0.0481217,78194,337
ILS-BL,12345,glass,15,7,0.395904,0.301895,0.0440857,52674,223
ES,12345,glass,15,7,0.397273,0.289362,0.0506054,100000,468
ILS-ES,12345,glass,15,7,0.408545,0.298647,0.0515368,100000,478
Greedy,67890,glass,15,7,0.492134,0.431227,0.0285626,1,24
Random,67890,glass,15,7,0.681575,0.43265,0.116734,100000,701
BL,67890,glass,15,7,0.403075,0.297149,0.049674,11732,52
AM-BEST (Mejor P2),67890,glass,15,7,0.42187,0.298732,0.057746,100000,751
BMB,67890,glass,15,7,0.401474,0.296873,0.0490531,72105,330
ILS-BL,67890,glass,15,7,0.391903,0.294583,0.045638,61931,262
ES,67890,glass,15,7,0.395208,0.29193,0.0484322,100000,469
ILS-ES,67890,glass,15,7,0.401274,0.286742,0.05371,100000,471
Greedy,13579,glass,15,7,0.489027,0.430106,0.0276312,1,29
Random,13579,glass,15,7,0.678552,0.42102,0.12077,100000,694
BL,13579,glass,15,7,0.399575,0.294311,0.0493636,13839,61
AM-BEST (Mejor P2),13579,glass,15,7,0.416091,0.290305,0.0589879,100000,693
BMB,13579,glass,15,7,0.391458,0.288843,0.0481217,74843,340
ILS-BL,13579,glass,15,7,0.385046,0.281768,0.0484322,60277,254
ES,13579,glass,15,7,0.401662,0.296398,0.0493636,100000,478
ILS-ES,13579,glass,15,7,0.404351,0.295115,0.0512263,100000,474
Greedy,24680,glass,15,7,0.490715,0.423849,0.0313567,1,22
Random,24680,glass,15,7,0.681252,0.426368,0.119528,100000,677
BL,24680,glass,15,7,0.407064,0.310407,0.0453275,16032,72
AM-BEST (Mejor P2),24680,glass,15,7,0.417753,0.288656,0.0605402,100000,693
BMB,24680,glass,15,7,0.403786,0.303819,0.0468799,79394,343
ILS-BL,24680,glass,15,7,0.385962,0.289305,0.0453275,50591,211
ES,24680,glass,15,7,0.409478,0.292959,0.0546414,100000,464
ILS-ES,24680,glass,15,7,0.394537,0.280667,0.0533996,100000,469
Greedy,98765,glass,15,7,0.48119,0.423593,0.0270102,1,28
Random,98765,glass,15,7,0.678824,0.434533,0.114561,100000,680
BL,98765,glass,15,7,0.40599,0.310657,0.0447066,13429,58
AM-BEST (Mejor P2),98765,glass,15,7,0.425584,0.30708,0.0555728,100000,689
BMB,98765,glass,15,7,0.397128,0.299147,0.0459485,77154,335
ILS-BL,98765,glass,15,7,0.389819,0.293824,0.0450171,53390,225
ES,98765,glass,15,7,0.402184,0.294272,0.0506054,100000,465
ILS-ES,98765,glass,15,7,0.402669,0.295419,0.0502949,100000,475
Greedy,43210,glass,15,7,0.485779,0.433478,0.0245265,1,26
Random,43210,glass,15,7,0.682147,0.423954,0.12108,100000,680
BL,43210,glass,15,7,0.401586,0.296985,0.0490531,20878,91
AM-BEST (Mejor P2),43210,glass,15,7,0.407201,0.29002,0.0549519,100000,694
BMB,43210,glass,15,7,0.391923,0.287983,0.0487426,88964,385
ILS-BL,43210,glass,15,7,0.388246,0.296885,0.0428438,60059,246
ES,43210,glass,15,7,0.398133,0.292208,0.049674,100000,463
ILS-ES,43210,glass,15,7,0.405313,0.286147,0.0558833,100000,467
Greedy,10293,glass,15,7,0.484598,0.427,0.0270102,1,29
Random,10293,glass,15,7,0.673518,0.427903,0.115182,100000,690
BL,10293,glass,15,7,0.401961,0.295373,0.0499845,16134,70
AM-BEST (Mejor P2),10293,glass,15,7,0.41852,0.288761,0.0608507,100000,688
BMB,10293,glass,15,7,0.388824,0.290843,0.0459485,79147,344
ILS-BL,10293,glass,15,7,0.389656,0.287703,0.0478112,61343,256
ES,10293,glass,15,7,0.394909,0.288984,0.049674,100000,467
ILS-ES,10293,glass,15,7,0.400703,0.297426,0.0484322,100000,484
Greedy,84756,glass,15,7,0.492099,0.429205,0.0294939,1,20
Random,84756,glass,15,7,0.67764,0.429377,0.116423,100000,735
BL,84756,glass,15,7,0.412199,0.312232,0.0468799,13049,62
AM-BEST (Mejor P2),84756,glass,15,7,0.413654,0.30508,0.0509159,100000,717
BMB,84756,glass,15,7,0.396348,0.301677,0.0443962,79654,346
ILS-BL,84756,glass,15,7,0.395021,0.293067,0.0478112,58402,274
ES,84756,glass,15,7,0.399143,0.296528,0.0481217,100000,484
ILS-ES,84756,glass,15,7,0.399063,0.289827,0.0512263,100000,474
Greedy,97531,glass,15,7,0.475764,0.420815,0.0257684,1,19
Random,97531,glass,15,7,0.68497,0.436707,0.116423,100000,684
BL,97531,glass,15,7,0.395152,0.302467,0.0434648,25785,110
AM-BEST (Mejor P2),97531,glass,15,7,0.415087,0.305189,0.0515368,100000,693
BMB,97531,glass,15,7,0.396131,0.296825,0.0465694,84426,367
ILS-BL,97531,glass,15,7,0.388204,0.292871,0.0447066,66140,278
ES,97531,glass,15,7,0.40158,0.297641,0.0487426,100000,717
ILS-ES,97531,glass,15,7,0.397981,0.298676,0.0465694,100000,621
Greedy,8642,glass,15,7,0.49083,0.427275,0.0298044,1,27
Random,8642,glass,15,7,0.68205,0.423857,0.12108,100000,697
BL,8642,glass,15,7,0.415962,0.312685,0.0484322,16707,74
AM-BEST (Mejor P2),8642,glass,15,7,0.417972,0.296157,0.0571251,100000,703
BMB,8642,glass,15,7,0.396249,0.299592,0.0453275,77608,337
ILS-BL,8642,glass,15,7,0.387517,0.298142,0.0419124,64245,270
ES,8642,glass,15,7,0.399065,0.284533,0.05371,100000,468
ILS-ES,8642,glass,15,7,0.405532,0.289676,0.054331,100000,477
Greedy,12345,glass,30,7,0.559667,0.425409,0.0629602,1,68
Random,12345,glass,30,7,0.699567,0.424323,0.129076,100000,1001
BL,12345,glass,30,7,0.46395,0.289961,0.0815928,16787,124
AM-BEST (Mejor P2),12345,glass,30,7,0.476327,0.274781,0.0945154,100000,994
BMB,12345,glass,30,7,0.461766,0.275921,0.0871525,95136,702
ILS-BL,12345,glass,30,7,0.458387,0.284077,0.0817431,68241,488
ES,12345,glass,30,7,0.482595,0.290341,0.0901578,100000,866
ILS-ES,12345,glass,30,7,0.472668,0.282336,0.0892562,100000,867
Greedy,67890,glass,30,7,0.557251,0.429723,0.0598047,1,78
Random,67890,glass,30,7,0.698154,0.424193,0.128475,100000,1002
BL,67890,glass,30,7,0.470569,0.285365,0.086852,20190,150
AM-BEST (Mejor P2),67890,glass,30,7,0.479961,0.277133,0.0951165,100000,997
BMB,67890,glass,30,7,0.459369,0.284098,0.0821938,89766,669
ILS-BL,67890,glass,30,7,0.460113,0.281317,0.0838467,65202,475
ES,67890,glass,30,7,0.482291,0.2926,0.0889557,100000,864
ILS-ES,67890,glass,30,7,0.480513,0.279928,0.0940646,100000,871
Greedy,13579,glass,30,7,0.566427,0.43249,0.0628099,1,44
Random,13579,glass,30,7,0.694423,0.426229,0.12577,100000,1004
BL,13579,glass,30,7,0.469702,0.291546,0.0835462,16914,126
AM-BEST (Mejor P2),13579,glass,30,7,0.478152,0.270518,0.0973704,100000,995
BMB,13579,glass,30,7,0.465897,0.289664,0.0826446,79165,648
ILS-BL,13579,glass,30,7,0.460096,0.2813,0.0838467,75272,559
ES,13579,glass,30,7,0.474876,0.28102,0.0909091,100000,877
ILS-ES,13579,glass,30,7,0.481266,0.290614,0.0894065,100000,859
Greedy,24680,glass,30,7,0.552492,0.418235,0.0629602,1,50
Random,24680,glass,30,7,0.697165,0.422241,0.128926,100000,988
BL,24680,glass,30,7,0.469183,0.287503,0.0851991,17693,131
AM-BEST (Mejor P2),24680,glass,30,7,0.492281,0.295861,0.0921112,100000,986
BMB,24680,glass,30,7,0.462586,0.285392,0.0830954,84686,631
ILS-BL,24680,glass,30,7,0.460266,0.288519,0.0805409,72758,521
ES,24680,glass,30,7,0.475574,0.284601,0.0895567,100000,860
ILS-ES,24680,glass,30,7,0.479722,0.279137,0.0940646,100000,866
Greedy,98765,glass,30,7,0.547655,0.417884,0.0608565,1,57
Random,98765,glass,30,7,0.692887,0.416042,0.129827,100000,993
BL,98765,glass,30,7,0.465824,0.28094,0.0867017,12433,91
AM-BEST (Mejor P2),98765,glass,30,7,0.481789,0.278961,0.0951165,100000,991
BMB,98765,glass,30,7,0.461412,0.281654,0.0842975,77748,579
ILS-BL,98765,glass,30,7,0.458117,0.285089,0.081142,66175,472
ES,98765,glass,30,7,0.477614,0.27735,0.0939144,100000,863
ILS-ES,98765,glass,30,7,0.481056,0.284637,0.0921112,100000,867
Greedy,43210,glass,30,7,0.55597,0.422674,0.0625094,1,56
Random,43210,glass,30,7,0.697998,0.425639,0.127724,100000,990
BL,43210,glass,30,7,0.470627,0.281257,0.0888054,24279,176
AM-BEST (Mejor P2),43210,glass,30,7,0.477097,0.282601,0.0912096,100000,993
BMB,43210,glass,30,7,0.460844,0.287175,0.0814425,78557,586
ILS-BL,43210,glass,30,7,0.463849,0.282169,0.0851991,69152,538
ES,43210,glass,30,7,0.476366,0.28283,0.0907588,100000,892
ILS-ES,43210,glass,30,7,0.477841,0.279499,0.0930128,100000,871
Greedy,10293,glass,30,7,0.561867,0.427609,0.0629602,1,55
Random,10293,glass,30,7,0.699935,0.417322,0.132532,100000,991
BL,10293,glass,30,7,0.464972,0.287457,0.0832457,18955,140
AM-BEST (Mejor P2),10293,glass,30,7,0.48621,0.276653,0.098272,100000,991
BMB,10293,glass,30,7,0.463272,0.285437,0.0833959,80170,602
ILS-BL,10293,glass,30,7,0.461043,0.282567,0.0836965,63908,455
ES,10293,glass,30,7,0.48017,0.299451,0.0847483,100000,860
ILS-ES,10293,glass,30,7,0.483059,0.294329,0.0885049,100000,864
Greedy,84756,glass,30,7,0.562847,0.429551,0.0625094,1,40
Random,84756,glass,30,7,0.695281,0.420998,0.128625,100000,988
BL,84756,glass,30,7,0.473821,0.281246,0.090308,9277,71
AM-BEST (Mejor P2),84756,glass,30,7,0.482658,0.283034,0.0936138,100000,995
BMB,84756,glass,30,7,0.461983,0.28511,0.0829452,89277,662
ILS-BL,84756,glass,30,7,0.462873,0.277028,0.0871525,61634,447
ES,84756,glass,30,7,0.477906,0.285332,0.090308,100000,863
ILS-ES,84756,glass,30,7,0.477587,0.27572,0.0946657,100000,870
Greedy,97531,glass,30,7,0.569899,0.430194,0.0655147,1,46
Random,97531,glass,30,7,0.694948,0.418423,0.129677,100000,986
BL,97531,glass,30,7,0.471239,0.290199,0.0848986,19765,145
AM-BEST (Mejor P2),97531,glass,30,7,0.487412,0.290031,0.092562,100000,991
BMB,97531,glass,30,7,0.463005,0.288695,0.0817431,77641,586
ILS-BL,97531,glass,30,7,0.462019,0.28162,0.084598,68880,502
ES,97531,glass,30,7,0.475565,0.285874,0.0889557,100000,867
ILS-ES,97531,glass,30,7,0.483481,0.282896,0.0940646,100000,864
Greedy,8642,glass,30,7,0.557618,0.424962,0.0622089,1,37
Random,8642,glass,30,7,0.697328,0.418239,0.130879,100000,987
BL,8642,glass,30,7,0.462053,0.286141,0.0824944,23021,167
AM-BEST (Mejor P2),8642,glass,30,7,0.476808,0.274301,0.0949662,100000,988
BMB,8642,glass,30,7,0.459667,0.279909,0.0842975,92730,687
ILS-BL,8642,glass,30,7,0.457147,0.285079,0.0806912,71924,516
ES,8642,glass,30,7,0.478647,0.292481,0.0873028,100000,927
ILS-ES,8642,glass,30,7,0.482196,0.28065,0.0945154,100000,870
Greedy,12345,bupa,15,16,0.239318,0.238615,0.000466092,1,283
Random,12345,bupa,15,16,0.329233,0.248861,0.053251,100000,1319
BL,12345,bupa,15,16,0.171752,0.146427,0.0167793,51647,499
AM-BEST (Mejor P2),12345,bupa,15,16,0.178725,0.14654,0.0213237,100000,1262
BMB,12345,bupa,15,16,0.176453,0.147259,0.0193428,100000,1091
ILS-BL,12345,bupa,15,16,0.172085,0.144297,0.0184106,100000,981
ES,12345,bupa,15,16,0.225312,0.17642,0.0323934,100000,1229
ILS-ES,12345,bupa,15,16,0.230663,0.179836,0.0336751,100000,1217
Greedy,67890,bupa,15,16,0.243914,0.241804,0.00139828,1,228
Random,67890,bupa,15,16,0.325443,0.246126,0.0525519,100000,1317
BL,67890,bupa,15,16,0.170694,0.143258,0.0181776,64588,619
AM-BEST (Mejor P2),67890,bupa,15,16,0.17804,0.147614,0.0201585,100000,1252
BMB,67890,bupa,15,16,0.177105,0.144041,0.0219063,100000,1086
ILS-BL,67890,bupa,15,16,0.174676,0.147592,0.0179445,100000,985
ES,67890,bupa,15,16,0.232908,0.18173,0.0339082,100000,1242
ILS-ES,67890,bupa,15,16,0.229577,0.179454,0.033209,100000,1227
Greedy,13579,bupa,15,16,0.236721,0.235841,0.000582615,1,268
Random,13579,bupa,15,16,0.328414,0.245052,0.0552319,100000,1395
BL,13579,bupa,15,16,0.175213,0.148657,0.017595,58102,575
AM-BEST (Mejor P2),13579,bupa,15,16,0.17414,0.14389,0.0200419,100000,1270
BMB,13579,bupa,15,16,0.177623,0.147022,0.020275,100000,1085
ILS-BL,13579,bupa,15,16,0.172755,0.145143,0.0182941,100000,977
ES,13579,bupa,15,16,0.224985,0.171697,0.0353065,100000,1231
ILS-ES,13579,bupa,15,16,0.229965,0.180546,0.032743,100000,1223
Greedy,24680,bupa,15,16,0.238263,0.23756,0.000466092,1,230
Random,24680,bupa,15,16,0.328083,0.247359,0.053484,100000,1328
BL,24680,bupa,15,16,0.170755,0.143671,0.0179445,92811,852
AM-BEST (Mejor P2),24680,bupa,15,16,0.179325,0.147669,0.0209741,100000,1255
BMB,24680,bupa,15,16,0.180334,0.152019,0.0187602,100000,1075
ILS-BL,24680,bupa,15,16,0.169168,0.144194,0.0165463,100000,972
ES,24680,bupa,15,16,0.228684,0.175572,0.0351899,100000,1241
ILS-ES,24680,bupa,15,16,0.229467,0.183917,0.0301794,100000,1290
Greedy,98765,bupa,15,16,0.238435,0.237907,0.000349569,1,306
Random,98765,bupa,15,16,0.328374,0.249057,0.0525519,100000,1318
BL,98765,bupa,15,16,0.167368,0.140987,0.0174784,85670,800
AM-BEST (Mejor P2),98765,bupa,15,16,0.18352,0.153271,0.0200419,100000,1254
BMB,98765,bupa,15,16,0.17711,0.149147,0.0185271,100000,1100
ILS-BL,98765,bupa,15,16,0.176398,0.14861,0.0184106,100000,978
ES,98765,bupa,15,16,0.226447,0.176852,0.0328595,100000,1226
ILS-ES,98765,bupa,15,16,0.228081,0.182882,0.0299464,100000,1227
Greedy,43210,bupa,15,16,0.240195,0.238964,0.000815661,1,229
Random,43210,bupa,15,16,0.328149,0.249535,0.0520858,100000,1317
BL,43210,bupa,15,16,0.16794,0.143142,0.0164297,100000,913
AM-BEST (Mejor P2),43210,bupa,15,16,0.177945,0.149806,0.0186437,100000,1252
BMB,43210,bupa,15,16,0.181578,0.154142,0.0181776,100000,1088
ILS-BL,43210,bupa,15,16,0.175244,0.146401,0.0191098,100000,980
ES,43210,bupa,15,16,0.229191,0.174672,0.0361221,100000,1234
ILS-ES,43210,bupa,15,16,0.225131,0.176591,0.0321603,100000,1222
Greedy,10293,bupa,15,16,0.241277,0.239871,0.000932184,1,316
Random,10293,bupa,15,16,0.328813,0.247209,0.0540667,100000,1392
BL,10293,bupa,15,16,0.170106,0.143198,0.017828,91261,830
AM-BEST (Mejor P2),10293,bupa,15,16,0.177286,0.148444,0.0191098,100000,1260
BMB,10293,bupa,15,16,0.176584,0.149149,0.0181776,100000,1093
ILS-BL,10293,bupa,15,16,0.175257,0.146414,0.0191098,100000,978
ES,10293,bupa,15,16,0.225838,0.170263,0.0368213,100000,1227
