Algorithm,Seed,Dataset,Ratio,K,Fitness,Distancia,Incumplimiento,Evaluaciones,Time_ms
AGE-SF,97531,zoo,15,7,1.00372,0.815151,0.0512048,100000,368
AM-All,97531,zoo,15,7,1.05436,0.87133,0.0496988,100000,299
AM-Rand,97531,zoo,15,7,1.09257,0.931728,0.0436747,100000,341
AM-Best,97531,zoo,15,7,1.05498,0.938511,0.0316265,100000,343
AGG-UN,8642,zoo,15,7,1.32776,1.2002,0.0346386,100000,376
AGG-SF,8642,zoo,15,7,1.11944,0.958601,0.0436747,100000,360
AGE-UN,8642,zoo,15,7,1.03863,0.877789,0.0436747,100000,364
AGE-SF,8642,zoo,15,7,1.09629,0.913266,0.0496988,100000,369
AM-All,8642,zoo,15,7,1.21663,1.08907,0.0346386,100000,303
AM-Rand,8642,zoo,15,7,1.01779,0.773756,0.0662651,100000,355
AM-Best,8642,zoo,15,7,1.13478,0.996118,0.0376506,100000,342
AGG-UN,12345,zoo,30,7,1.31286,1.00618,0.083275,100000,429
AGG-SF,12345,zoo,30,7,1.22342,0.84458,0.102869,100000,422
AGE-UN,12345,zoo,30,7,1.22687,0.930498,0.0804759,100000,436
AGE-SF,12345,zoo,30,7,1.21013,0.846752,0.0986704,100000,437
AM-All,12345,zoo,30,7,1.17087,0.76884,0.109167,100000,375
AM-Rand,12345,zoo,30,7,1.19913,0.835758,0.0986704,100000,413
AM-Best,12345,zoo,30,7,1.27842,0.938241,0.0923723,100000,406
AGG-UN,67890,zoo,30,7,1.19837,0.88138,0.0860742,100000,423
AGG-SF,67890,zoo,30,7,1.2828,0.903964,0.102869,100000,426
AGE-UN,67890,zoo,30,7,1.22063,0.852095,0.10007,100000,433
AGE-SF,67890,zoo,30,7,1.16662,0.762014,0.109867,100000,430
AM-All,67890,zoo,30,7,1.25854,0.933822,0.0881735,100000,361
AM-Rand,67890,zoo,30,7,1.32374,1.01964,0.0825752,100000,407
AM-Best,67890,zoo,30,7,1.3537,1.06764,0.0776767,100000,408
AGG-UN,13579,zoo,30,7,1.18201,0.798019,0.104269,100000,421
AGG-SF,13579,zoo,30,7,1.19477,0.818507,0.102169,100000,417
AGE-UN,13579,zoo,30,7,1.20737,0.825957,0.103569,100000,426
AGE-SF,13579,zoo,30,7,1.20249,0.797882,0.109867,100000,427
AM-All,13579,zoo,30,7,1.20323,0.826967,0.102169,100000,362
AM-Rand,13579,zoo,30,7,1.23037,0.900493,0.0895731,100000,406
AM-Best,13579,zoo,30,7,1.19639,0.861358,0.0909727,100000,407
AGG-UN,24680,zoo,30,7,1.17892,0.779462,0.108467,100000,427
AGG-SF,24680,zoo,30,7,1.21867,0.850135,0.10007,100000,421
AGE-UN,24680,zoo,30,7,1.21707,0.843386,0.10147,100000,429
AGE-SF,24680,zoo,30,7,1.18352,0.838185,0.0937719,100000,428
AM-All,24680,zoo,30,7,1.26773,0.917241,0.0951714,100000,361
AM-Rand,24680,zoo,30,7,1.2019,0.838525,0.0986704,100000,407
AM-Best,24680,zoo,30,7,1.23041,0.921158,0.0839748,100000,404
AGG-UN,98765,zoo,30,7,1.26717,0.921834,0.0937719,100000,425
AGG-SF,98765,zoo,30,7,1.17418,0.751526,0.114766,100000,419
AGE-UN,98765,zoo,30,7,1.21887,0.886417,0.0902729,100000,425
AGE-SF,98765,zoo,30,7,1.19015,0.782958,0.110567,100000,423
AM-All,98765,zoo,30,7,1.17323,0.799546,0.10147,100000,360
AM-Rand,98765,zoo,30,7,1.34456,0.983764,0.0979706,100000,410
AM-Best,98765,zoo,30,7,1.18035,0.778313,0.109167,100000,415
AGG-UN,43210,zoo,30,7,1.19612,0.843052,0.0958712,100000,425
AGG-SF,43210,zoo,30,7,1.29475,0.985491,0.0839748,100000,419
AGE-UN,43210,zoo,30,7,1.33124,0.985908,0.0937719,100000,428
AGE-SF,43210,zoo,30,7,1.1902,0.811364,0.102869,100000,432
AM-All,43210,zoo,30,7,1.21581,0.834393,0.103569,100000,362
AM-Rand,43210,zoo,30,7,1.36131,1.04948,0.0846746,100000,407
AM-Best,43210,zoo,30,7,1.27512,0.844735,0.116865,100000,414
AGG-UN,10293,zoo,30,7,1.29259,0.962715,0.0895731,100000,428
AGG-SF,10293,zoo,30,7,1.18987,0.844533,0.0937719,100000,419
AGE-UN,10293,zoo,30,7,1.32886,1.00672,0.0874738,100000,425
AGE-SF,10293,zoo,30,7,1.17337,0.802266,0.10077,100000,427
AM-All,10293,zoo,30,7,1.32023,0.925929,0.107068,100000,361
AM-Rand,10293,zoo,30,7,1.22007,0.913396,0.083275,100000,406
AM-Best,10293,zoo,30,7,1.21564,0.862567,0.0958712,100000,407
AGG-UN,84756,zoo,30,7,1.21029,0.839184,0.10077,100000,424
AGG-SF,84756,zoo,30,7,1.31603,0.991313,0.0881735,100000,417
AGE-UN,84756,zoo,30,7,1.25598,0.897756,0.0972708,100000,426
AGE-SF,84756,zoo,30,7,1.34908,1.01148,0.0916725,100000,427
AM-All,84756,zoo,30,7,1.17764,0.803957,0.10147,100000,361
AM-Rand,84756,zoo,30,7,1.41719,1.11308,0.0825752,100000,406
AM-Best,84756,zoo,30,7,1.3372,1.02537,0.0846746,100000,406
AGG-UN,97531,zoo,30,7,1.19909,0.802207,0.107768,100000,432
AGG-SF,97531,zoo,30,7,1.29834,0.953004,0.0937719,100000,418
AGE-UN,97531,zoo,30,7,1.21732,0.851367,0.0993702,100000,432
AGE-SF,97531,zoo,30,7,1.21188,0.815003,0.107768,100000,427
AM-All,97531,zoo,30,7,1.33297,1.00825,0.0881735,100000,362
AM-Rand,97531,zoo,30,7,1.22328,0.895984,0.0888733,100000,406
AM-Best,97531,zoo,30,7,1.33443,1.03548,0.0811756,100000,407
AGG-UN,8642,zoo,30,7,1.2392,0.89644,0.0930721,100000,431
AGG-SF,8642,zoo,30,7,1.2616,0.898222,0.0986704,100000,417
AGE-UN,8642,zoo,30,7,1.1849,0.721013,0.125962,100000,433
AGE-SF,8642,zoo,30,7,1.23682,0.881178,0.096571,100000,427
AM-All,8642,zoo,30,7,1.16869,0.784697,0.104269,100000,361
AM-Rand,8642,zoo,30,7,1.21034,0.865003,0.0937719,100000,412
AM-Best,8642,zoo,30,7,1.19845,0.845378,0.0958712,100000,406
AGG-UN,12345,glass,15,7,0.4107,0.306098,0.0490531,100000,715
AGG-SF,12345,glass,15,7,0.42503,0.298582,0.0592984,100000,717
AGE-UN,12345,glass,15,7,0.416176,0.284431,0.0617821,100000,733
AGE-SF,12345,glass,15,7,0.41693,0.279888,0.0642658,100000,728
AM-All,12345,glass,15,7,0.404492,0.274071,0.0611611,100000,606
AM-Rand,12345,glass,15,7,0.418182,0.29372,0.058367,100000,685
AM-Best,12345,glass,15,7,0.420689,0.29755,0.057746,100000,692
AGG-UN,67890,glass,15,7,0.432157,0.30637,0.0589879,100000,726
AGG-SF,67890,glass,15,7,0.416592,0.293453,0.057746,100000,717
AGE-UN,67890,glass,15,7,0.427232,0.298135,0.0605402,100000,731
AGE-SF,67890,glass,15,7,0.4129,0.279831,0.062403,100000,731
AM-All,67890,glass,15,7,0.438736,0.325528,0.0530891,100000,607
AM-Rand,67890,glass,15,7,0.424492,0.298043,0.0592984,100000,719
AM-Best,67890,glass,15,7,0.42187,0.298732,0.057746,100000,748
AGG-UN,13579,glass,15,7,0.426678,0.304863,0.0571251,100000,916
AGG-SF,13579,glass,15,7,0.406529,0.271474,0.0633344,100000,930
AGE-UN,13579,glass,15,7,0.417328,0.270356,0.0689227,100000,942
AGE-SF,13579,glass,15,7,0.425882,0.305392,0.0565042,100000,884
AM-All,13579,glass,15,7,0.411221,0.285434,0.0589879,100000,656
AM-Rand,13579,glass,15,7,0.418041,0.299537,0.0555728,100000,697
AM-Best,13579,glass,15,7,0.416091,0.290305,0.0589879,100000,697
AGG-UN,24680,glass,15,7,0.427095,0.299322,0.0599193,100000,726
AGG-SF,24680,glass,15,7,0.437906,0.324697,0.0530891,100000,711
AGE-UN,24680,glass,15,7,0.425018,0.303866,0.0568147,100000,748
AGE-SF,24680,glass,15,7,0.415957,0.299438,0.0546414,100000,735
AM-All,24680,glass,15,7,0.419231,0.292121,0.0596088,100000,616
AM-Rand,24680,glass,15,7,0.420649,0.300821,0.0561937,100000,694
AM-Best,24680,glass,15,7,0.417753,0.288656,0.0605402,100000,698
AGG-UN,98765,glass,15,7,0.412045,0.273679,0.0648867,100000,726
AGG-SF,98765,glass,15,7,0.4225,0.294065,0.0602297,100000,718
AGE-UN,98765,glass,15,7,0.429673,0.312493,0.0549519,100000,739
AGE-SF,98765,glass,15,7,0.426646,0.3141,0.0527786,100000,735
AM-All,98765,glass,15,7,0.418928,0.291155,0.0599193,100000,602
AM-Rand,98765,glass,15,7,0.424504,0.302028,0.0574356,100000,692
AM-Best,98765,glass,15,7,0.425584,0.30708,0.0555728,100000,699
AGG-UN,43210,glass,15,7,0.418485,0.298657,0.0561937,100000,719
AGG-SF,43210,glass,15,7,0.423562,0.304395,0.0558833,100000,714
AGE-UN,43210,glass,15,7,0.428678,0.302229,0.0592984,100000,750
AGE-SF,43210,glass,15,7,0.452707,0.332878,0.0561937,100000,729
AM-All,43210,glass,15,7,0.413172,0.299302,0.0533996,100000,598
AM-Rand,43210,glass,15,7,0.420433,0.297294,0.057746,100000,690
AM-Best,43210,glass,15,7,0.407201,0.29002,0.0549519,100000,689
AGG-UN,10293,glass,15,7,0.412614,0.295434,0.0549519,100000,716
AGG-SF,10293,glass,15,7,0.419988,0.292877,0.0596088,100000,724
AGE-UN,10293,glass,15,7,0.428189,0.309022,0.0558833,100000,734
AGE-SF,10293,glass,15,7,0.425465,0.309609,0.054331,100000,744
AM-All,10293,glass,15,7,0.409028,0.287875,0.0568147,100000,615
AM-Rand,10293,glass,15,7,0.42498,0.282643,0.0667495,100000,691
AM-Best,10293,glass,15,7,0.41852,0.288761,0.0608507,100000,703
AGG-UN,84756,glass,15,7,0.427616,0.290575,0.0642658,100000,722
AGG-SF,84756,glass,15,7,0.417805,0.284736,0.062403,100000,726
AGE-UN,84756,glass,15,7,0.422882,0.296433,0.0592984,100000,744
AGE-SF,84756,glass,15,7,0.419552,0.29509,0.058367,100000,739
AM-All,84756,glass,15,7,0.419304,0.300799,0.0555728,100000,612
AM-Rand,84756,glass,15,7,0.41672,0.284313,0.0620925,100000,696
AM-Best,84756,glass,15,7,0.413654,0.30508,0.0509159,100000,691
AGG-UN,97531,glass,15,7,0.404558,0.289363,0.0540205,100000,723
AGG-SF,97531,glass,15,7,0.417747,0.29858,0.0558833,100000,721
AGE-UN,97531,glass,15,7,0.416156,0.308245,0.0506054,100000,742
AGE-SF,97531,glass,15,7,0.423211,0.304706,0.0555728,100000,727
AM-All,97531,glass,15,7,0.405093,0.282616,0.0574356,100000,610
AM-Rand,97531,glass,15,7,0.413476,0.279745,0.0627134,100000,691
AM-Best,97531,glass,15,7,0.415087,0.305189,0.0515368,100000,687
AGG-UN,8642,glass,15,7,0.419473,0.296996,0.0574356,100000,734
AGG-SF,8642,glass,15,7,0.42109,0.295304,0.0589879,100000,706
AGE-UN,8642,glass,15,7,0.412466,0.274762,0.0645762,100000,747
AGE-SF,8642,glass,15,7,0.423806,0.297357,0.0592984,100000,729
AM-All,8642,glass,15,7,0.404538,0.264187,0.0658181,100000,601
AM-Rand,8642,glass,15,7,0.410375,0.297167,0.0530891,100000,688
AM-Best,8642,glass,15,7,0.417972,0.296157,0.0571251,100000,687
AGG-UN,12345,glass,30,7,0.491139,0.286709,0.0958678,100000,1016
AGG-SF,12345,glass,30,7,0.510337,0.320006,0.0892562,100000,1017
AGE-UN,12345,glass,30,7,0.4852,0.2734,0.0993238,100000,1028
AGE-SF,12345,glass,30,7,0.493656,0.297236,0.0921112,100000,1028
AM-All,12345,glass,30,7,0.480679,0.279133,0.0945154,100000,898
AM-Rand,12345,glass,30,7,0.477104,0.27716,0.0937641,100000,993
AM-Best,12345,glass,30,7,0.476327,0.274781,0.0945154,100000,985
AGG-UN,67890,glass,30,7,0.482262,0.288726,0.0907588,100000,1019
AGG-SF,67890,glass,30,7,0.487853,0.283743,0.0957175,100000,996
AGE-UN,67890,glass,30,7,0.485049,0.283182,0.0946657,100000,1034
AGE-SF,67890,glass,30,7,0.482984,0.288807,0.0910594,100000,1022
AM-All,67890,glass,30,7,0.514169,0.344024,0.0797896,100000,896
AM-Rand,67890,glass,30,7,0.485674,0.277078,0.0978212,100000,987
AM-Best,67890,glass,30,7,0.479961,0.277133,0.0951165,100000,986
AGG-UN,13579,glass,30,7,0.481557,0.283215,0.0930128,100000,1015
AGG-SF,13579,glass,30,7,0.484887,0.285583,0.0934636,100000,1010
AGE-UN,13579,glass,30,7,0.470933,0.270668,0.0939144,100000,1029
AGE-SF,13579,glass,30,7,0.484829,0.294818,0.0891059,100000,1031
AM-All,13579,glass,30,7,0.48137,0.269571,0.0993238,100000,887
AM-Rand,13579,glass,30,7,0.476529,0.276906,0.0936138,100000,984
AM-Best,13579,glass,30,7,0.478152,0.270518,0.0973704,100000,985
AGG-UN,24680,glass,30,7,0.501403,0.304022,0.092562,100000,1004
AGG-SF,24680,glass,30,7,0.485251,0.286909,0.0930128,100000,1004
AGE-UN,24680,glass,30,7,0.494227,0.293642,0.0940646,100000,1031
AGE-SF,24680,glass,30,7,0.485278,0.280527,0.096018,100000,1017
AM-All,24680,glass,30,7,0.480818,0.279913,0.0942149,100000,895
AM-Rand,24680,glass,30,7,0.489581,0.302454,0.0877536,100000,975
AM-Best,24680,glass,30,7,0.492281,0.295861,0.0921112,100000,984
AGG-UN,98765,glass,30,7,0.482001,0.283979,0.0928625,100000,1005
AGG-SF,98765,glass,30,7,0.478857,0.276349,0.0949662,100000,1006
AGE-UN,98765,glass,30,7,0.518284,0.335322,0.0858002,100000,1024
AGE-SF,98765,glass,30,7,0.487546,0.291768,0.0918107,100000,1017
AM-All,98765,glass,30,7,0.483508,0.269786,0.100225,100000,894
AM-Rand,98765,glass,30,7,0.481545,0.283203,0.0930128,100000,979
AM-Best,98765,glass,30,7,0.481789,0.278961,0.0951165,100000,971
AGG-UN,43210,glass,30,7,0.487897,0.288594,0.0934636,100000,1003
AGG-SF,43210,glass,30,7,0.483836,0.286135,0.0927122,100000,999
AGE-UN,43210,glass,30,7,0.482481,0.295034,0.0879038,100000,1019
AGE-SF,43210,glass,30,7,0.486712,0.281641,0.0961683,100000,1018
AM-All,43210,glass,30,7,0.471282,0.2723,0.0933133,100000,883
AM-Rand,43210,glass,30,7,0.483186,0.27427,0.0979715,100000,984
AM-Best,43210,glass,30,7,0.477097,0.282601,0.0912096,100000,970
AGG-UN,10293,glass,30,7,0.487007,0.284499,0.0949662,100000,1009
AGG-SF,10293,glass,30,7,0.515153,0.319054,0.0919609,100000,1002
AGE-UN,10293,glass,30,7,0.4972,0.295974,0.0943651,100000,1022
AGE-SF,10293,glass,30,7,0.483615,0.271495,0.0994741,100000,1008
AM-All,10293,glass,30,7,0.482257,0.278788,0.095417,100000,886
AM-Rand,10293,glass,30,7,0.491969,0.286898,0.0961683,100000,972
AM-Best,10293,glass,30,7,0.48621,0.276653,0.098272,100000,978
AGG-UN,84756,glass,30,7,0.48757,0.266478,0.103681,100000,999
AGG-SF,84756,glass,30,7,0.479777,0.288164,0.0898573,100000,1008
AGE-UN,84756,glass,30,7,0.491538,0.2964,0.0915101,100000,1021
AGE-SF,84756,glass,30,7,0.490708,0.28788,0.0951165,100000,1021
AM-All,84756,glass,30,7,0.475742,0.290538,0.086852,100000,890
AM-Rand,84756,glass,30,7,0.509988,0.333115,0.0829452,100000,977
AM-Best,84756,glass,30,7,0.482658,0.283034,0.0936138,100000,970
AGG-UN,97531,glass,30,7,0.494788,0.281706,0.0999249,100000,1007
AGG-SF,97531,glass,30,7,0.491915,0.292933,0.0933133,100000,1004
AGE-UN,97531,glass,30,7,0.489121,0.295265,0.0909091,100000,1033
AGE-SF,97531,glass,30,7,0.49102,0.285949,0.0961683,100000,1015
AM-All,97531,glass,30,7,0.483775,0.286715,0.0924117,100000,886
AM-Rand,97531,glass,30,7,0.493699,0.296959,0.0922615,100000,971
AM-Best,97531,glass,30,7,0.487412,0.290031,0.092562,100000,973
AGG-UN,8642,glass,30,7,0.49171,0.28728,0.0958678,100000,1094
AGG-SF,8642,glass,30,7,0.484154,0.272034,0.0994741,100000,1001
AGE-UN,8642,glass,30,7,0.48486,0.292286,0.090308,100000,1025
AGE-SF,8642,glass,30,7,0.487968,0.293791,0.0910594,100000,1017
AM-All,8642,glass,30,7,0.483105,0.284443,0.093163,100000,887
AM-Rand,8642,glass,30,7,0.487367,0.280374,0.0970699,100000,981
AM-Best,8642,glass,30,7,0.476808,0.274301,0.0949662,100000,1006
AGG-UN,12345,bupa,15,16,0.195852,0.159272,0.0242368,100000,1386
AGG-SF,12345,bupa,15,16,0.198008,0.16301,0.0231881,100000,1447
AGE-UN,12345,bupa,15,16,0.193853,0.16079,0.0219063,100000,1391
AGE-SF,12345,bupa,15,16,0.192681,0.159617,0.0219063,100000,1393
AM-All,12345,bupa,15,16,0.194141,0.16776,0.0174784,100000,1129
AM-Rand,12345,bupa,15,16,0.174675,0.145305,0.0194593,100000,1265
AM-Best,12345,bupa,15,16,0.178725,0.14654,0.0213237,100000,1267
AGG-UN,67890,bupa,15,16,0.196357,0.162942,0.0221394,100000,1379
AGG-SF,67890,bupa,15,16,0.204069,0.167312,0.0243533,100000,1365
AGE-UN,67890,bupa,15,16,0.19551,0.163502,0.0212072,100000,1386
AGE-SF,67890,bupa,15,16,0.199442,0.161454,0.025169,100000,1370
AM-All,67890,bupa,15,16,0.200935,0.167695,0.0220228,100000,1136
AM-Rand,67890,bupa,15,16,0.176086,0.14654,0.0195759,100000,1257
AM-Best,67890,bupa,15,16,0.17804,0.147614,0.0201585,100000,1249
AGG-UN,13579,bupa,15,16,0.197952,0.162075,0.0237707,100000,1378
AGG-SF,13579,bupa,15,16,0.199985,0.169911,0.0199254,100000,1356
AGE-UN,13579,bupa,15,16,0.192317,0.16154,0.0203915,100000,1388
AGE-SF,13579,bupa,15,16,0.194116,0.159821,0.022722,100000,1390
AM-All,13579,bupa,15,16,0.192115,0.162217,0.0198089,100000,1132
AM-Rand,13579,bupa,15,16,0.180262,0.15054,0.0196924,100000,1419
AM-Best,13579,bupa,15,16,0.17414,0.14389,0.0200419,100000,1269
AGG-UN,24680,bupa,15,16,0.201228,0.170627,0.020275,100000,1370
AGG-SF,24680,bupa,15,16,0.202689,0.165405,0.0247029,100000,1360
AGE-UN,24680,bupa,15,16,0.195927,0.159874,0.0238872,100000,1394
AGE-SF,24680,bupa,15,16,0.194606,0.16207,0.0215567,100000,1390
AM-All,24680,bupa,15,16,0.201188,0.171818,0.0194593,100000,1114
AM-Rand,24680,bupa,15,16,0.175672,0.150522,0.0166628,100000,1249
AM-Best,24680,bupa,15,16,0.179325,0.147669,0.0209741,100000,1248
AGG-UN,98765,bupa,15,16,0.190441,0.153685,0.0243533,100000,1422
AGG-SF,98765,bupa,15,16,0.192924,0.160564,0.0214402,100000,1396
AGE-UN,98765,bupa,15,16,0.192629,0.155169,0.0248194,100000,1386
AGE-SF,98765,bupa,15,16,0.194947,0.161708,0.0220228,100000,1376
AM-All,98765,bupa,15,16,0.199001,0.171917,0.0179445,100000,1173
AM-Rand,98765,bupa,15,16,0.177947,0.14928,0.0189932,100000,1283
AM-Best,98765,bupa,15,16,0.18352,0.153271,0.0200419,100000,1286
AGG-UN,43210,bupa,15,16,0.197351,0.169036,0.0187602,100000,1378
AGG-SF,43210,bupa,15,16,0.192298,0.159411,0.0217898,100000,1437
AGE-UN,43210,bupa,15,16,0.188253,0.154487,0.0223724,100000,1387
AGE-SF,43210,bupa,15,16,0.190985,0.159328,0.0209741,100000,1382
AM-All,43210,bupa,15,16,0.197607,0.164896,0.0216733,100000,1136
AM-Rand,43210,bupa,15,16,0.178131,0.149816,0.0187602,100000,1260
AM-Best,43210,bupa,15,16,0.177945,0.149806,0.0186437,100000,1267
AGG-UN,10293,bupa,15,16,0.196457,0.163394,0.0219063,100000,1377
AGG-SF,10293,bupa,15,16,0.191805,0.156279,0.0235376,100000,1365
AGE-UN,10293,bupa,15,16,0.192641,0.160105,0.0215567,100000,1390
AGE-SF,10293,bupa,15,16,0.191758,0.156057,0.0236542,100000,1378
AM-All,10293,bupa,15,16,0.197556,0.164844,0.0216733,100000,1129
AM-Rand,10293,bupa,15,16,0.177711,0.145878,0.0210907,100000,1262
AM-Best,10293,bupa,15,16,0.177286,0.148444,0.0191098,100000,1249
AGG-UN,84756,bupa,15,16,0.193875,0.159932,0.0224889,100000,1382
AGG-SF,84756,bupa,15,16,0.193935,0.163333,0.020275,100000,1358
AGE-UN,84756,bupa,15,16,0.189775,0.16146,0.0187602,100000,1389
AGE-SF,84756,bupa,15,16,0.190275,0.157915,0.0214402,100000,1382
AM-All,84756,bupa,15,16,0.205289,0.174336,0.020508,100000,1129
AM-Rand,84756,bupa,15,16,0.184281,0.155263,0.0192263,100000,1248
AM-Best,84756,bupa,15,16,0.176055,0.146157,0.0198089,100000,1253
AGG-UN,97531,bupa,15,16,0.193948,0.15895,0.0231881,100000,1380
AGG-SF,97531,bupa,15,16,0.195952,0.162361,0.0222559,100000,1379
AGE-UN,97531,bupa,15,16,0.192574,0.162324,0.0200419,100000,1398
AGE-SF,97531,bupa,15,16,0.186582,0.150353,0.0240037,100000,1386
AM-All,97531,bupa,15,16,0.201264,0.173829,0.0181776,100000,1132
AM-Rand,97531,bupa,15,16,0.178997,0.153848,0.0166628,100000,1259
AM-Best,97531,bupa,15,16,0.17704,0.148022,0.0192263,100000,1253
AGG-UN,8642,bupa,15,16,0.19312,0.161288,0.0210907,100000,1382
AGG-SF,8642,bupa,15,16,0.192628,0.160619,0.0212072,100000,1361
AGE-UN,8642,bupa,15,16,0.194865,0.165143,0.0196924,100000,1396
AGE-SF,8642,bupa,15,16,0.19082,0.155119,0.0236542,100000,1387
AM-All,8642,bupa,15,16,0.199474,0.169752,0.0196924,100000,1134
AM-Rand,8642,bupa,15,16,0.179614,0.149365,0.0200419,100000,1264
AM-Best,8642,bupa,15,16,0.172944,0.141288,0.0209741,100000,1262
AGG-UN,12345,bupa,30,16,0.213802,0.152685,0.0404935,100000,2169
AGG-SF,12345,bupa,30,16,0.220025,0.155632,0.0426638,100000,2155
AGE-UN,12345,bupa,30,16,0.213578,0.154616,0.0390656,100000,2190
AGE-SF,12345,bupa,30,16,0.212799,0.150648,0.0411788,100000,2170
AM-All,12345,bupa,30,16,0.213151,0.152551,0.0401508,100000,1919
AM-Rand,12345,bupa,30,16,0.207222,0.150242,0.037752,100000,2050
AM-Best,12345,bupa,30,16,0.201365,0.143092,0.0386087,100000,2058
AGG-UN,67890,bupa,30,16,0.21993,0.161399,0.0387801,100000,2182
AGG-SF,67890,bupa,30,16,0.227736,0.166102,0.0408361,100000,2172
AGE-UN,67890,bupa,30,16,0.219841,0.162258,0.0381518,100000,2207
AGE-SF,67890,bupa,30,16,0.214914,0.153711,0.0405506,100000,2174
AM-All,67890,bupa,30,16,0.223754,0.164965,0.0389514,100000,1980
