Algorithm,Seed,Dataset,Ratio,K,Fitness,Distancia,Incumplimiento,Evaluaciones,Time_ms
Greedy,84756,./code/data/bupa,15,16,0.239064,0.238009,0.000699138,1,392
LocalSearch,84756,./code/data/bupa,15,16,0.167613,0.138594,0.0192263,92584,754
RandomSearch,97531,./code/data/bupa,15,16,0.328546,0.248526,0.0530179,100000,1587
Greedy,97531,./code/data/bupa,15,16,0.238893,0.238717,0.000116523,1,301
LocalSearch,97531,./code/data/bupa,15,16,0.170064,0.145091,0.0165463,100000,817
RandomSearch,8642,./code/data/bupa,15,16,0.329434,0.24783,0.0540667,100000,1811
Greedy,8642,./code/data/bupa,15,16,0.2442,0.242969,0.000815661,1,283
LocalSearch,8642,./code/data/bupa,15,16,0.17002,0.143816,0.0173619,88603,870
RandomSearch,12345,./code/data/bupa,30,16,0.333905,0.244686,0.0591125,100000,2652
Greedy,12345,./code/data/bupa,30,16,0.268263,0.247833,0.0135359,1,779
LocalSearch,12345,./code/data/bupa,30,16,0.1993,0.147062,0.0346108,72805,1302
RandomSearch,67890,./code/data/bupa,30,16,0.334715,0.24972,0.0563139,100000,3682
Greedy,67890,./code/data/bupa,30,16,0.266351,0.246008,0.0134788,1,772
LocalSearch,67890,./code/data/bupa,30,16,0.196185,0.143084,0.0351819,83607,1657
RandomSearch,13579,./code/data/bupa,30,16,0.333373,0.244412,0.0589411,100000,2693
Greedy,13579,./code/data/bupa,30,16,0.264893,0.24567,0.0127363,1,801
LocalSearch,13579,./code/data/bupa,30,16,0.201235,0.146927,0.0359815,53426,829
RandomSearch,24680,./code/data/bupa,30,16,0.33448,0.248451,0.0569993,100000,2686
Greedy,24680,./code/data/bupa,30,16,0.270046,0.25134,0.0123936,1,841
LocalSearch,24680,./code/data/bupa,30,16,0.201697,0.148424,0.0352961,68373,1038
RandomSearch,98765,./code/data/bupa,30,16,0.332497,0.248967,0.055343,100000,2700
Greedy,98765,./code/data/bupa,30,16,0.262634,0.243411,0.0127363,1,705
LocalSearch,98765,./code/data/bupa,30,16,0.195931,0.14171,0.0359244,100000,1474
RandomSearch,43210,./code/data/bupa,30,16,0.333223,0.24909,0.0557428,100000,2640
Greedy,43210,./code/data/bupa,30,16,0.266553,0.245606,0.0138786,1,579
LocalSearch,43210,./code/data/bupa,30,16,0.19888,0.146038,0.0350106,69454,1056
